NEXRAD SYSTEM,ICAO,CITY,STATE
BETHEL FAA,PABC,ANCHORAGE,AK
FAIRBANKS FAA,PAPD,FAIRBANKS,AK
KAMUELA/KOHALA APT,PHKM,HONOLULU,HI
KENAI FAA,PAHG,ANCHORAGE,AK
KING SALMON FAA,PAKC,ANCHORAGE,AK
MIDDLETON ISLAND,PAIH,ANCHORAGE,AK
MOLOKAI FAA,PHMO,HONOLULU,HI
NOME FAA,PAEC,FAIRBANKS,AK
SAN JUAN FAA,TJUA,SAN JUAN,PR
SITKA FAA,PACG,JUNEAU,AK
SOUTH KAUAI,PHKI,HONOLULU,HI
SOUTH SHORE FAA,PHWA,HONOLULU,HI
